liutong_rate,liutong_value,name,price,global_pro,huanshou_rate,price_change
59.92%,"¥20,860,223","
BitWhite
                            ",￥0.5787,"
<0.1%                                  ",0.36%,-2.2%
58.55%,"¥19,594,068","
FORCE
                            ",￥0.1673,"
<0.1%                                  ",0.31%,35.82%
78.86%,"¥20,048,998","
e-Gulden
                            ",￥1.21,"
<0.1%                                  ",0.94%,0.66%
100%,"¥20,969,274","
SpreadCoin
                            ",￥2.16,"
<0.1%                                  ",0.96%,-3.92%
0.18%,"¥412,422","
WomenCoin
                            ",￥0.009327,"
<0.1%                                  ",11.04%,-14.36%
100%,"¥265,959","
Steps
                            ",￥0.0143,"
<0.1%                                  ",?%,-7.52%
100%,"¥265,295","
LetItRide
                            ",￥0.00721,"
<0.1%                                  ",0.01%,-0.93%
35.08%,"¥272,683","
PlayerCoin
                            ",￥0.007764,"
<0.1%                                  ",11.14%,0.54%
100%,"¥283,288","
Digital Rupees
                            ",￥0.000555,"
<0.1%                                  ",1.82%,-53.31%
53%,"¥293,988","
JobsCoin
                            ",￥0.002773,"
<0.1%                                  ",0%,-6.62%
100%,"¥286,258","
BowsCoin
                            ",￥0.0516,"
<0.1%                                  ",0.46%,-0.2%
100%,"¥296,692","
ImpulseCoin
                            ",￥0.0147,"
<0.1%                                  ",?%,-8.61%
34.16%,"¥78,803,441","
Phore
                            ",￥11.29,"
<0.1%                                  ",0.34%,-17.24%
100%,"¥54,719,472","
Novacoin
                            ",￥27.24,"
<0.1%                                  ",0.23%,-5.03%
97.2%,"¥55,124,891","
PinkCoin
                            ",￥0.1443,"
<0.1%                                  ",0.27%,-5.18%
89.32%,"¥55,921,389","
UFO Coin
                            ",￥0.0157,"
<0.1%                                  ",0.09%,3.56%
100%,"¥54,599,120","
Curecoin
                            ",￥2.29,"
<0.1%                                  ",0.51%,-7.83%
100%,"¥55,852,751","
DubaiCoin
                            ",￥25.3,"
<0.1%                                  ",2.14%,-16.62%
5%,"¥56,586,456","
Ecobit
                            ",￥0.1273,"
<0.1%                                  ",0%,-6.77%
95%,"¥57,288,394","
InfChain
                            ",￥0.0603,"
<0.1%                                  ",0.26%,-0.45%
4.68%,"¥61,239,717","
Polis
                            ",￥52.33,"
<0.1%                                  ",0.92%,-0.19%
42.52%,"¥62,192,345","
Espers
                            ",￥0.002925,"
<0.1%                                  ",0.08%,-7.37%
100%,"¥63,197,548","
AsiaCoin
                            ",￥0.0466,"
<0.1%                                  ",0.15%,72.26%
59.9%,"¥63,008,805","
Mysterium
                            ",￥3.24,"
<0.1%                                  ",1.8%,-11.29%
13.69%,"¥63,430,433","
ATBCoin
                            ",￥1.55,"
<0.1%                                  ",23.77%,-9.21%
16.79%,"¥63,628,755","
Internet of People
                            ",￥18.05,"
<0.1%                                  ",6.57%,-8.52%
46.16%,"¥63,637,961","
Gambit
                            ",￥53.02,"
<0.1%                                  ",0.41%,-8.64%
10.77%,"¥65,095,505","
Solaris
                            ",￥60.43,"
<0.1%                                  ",0.48%,-5.74%
34.62%,"¥66,496,415","
Dynamic
                            ",￥13.82,"
<0.1%                                  ",3.63%,-6.88%
50.64%,"¥68,847,795","
Neutron
                            ",￥2,"
<0.1%                                  ",0.27%,-1.03%
69.87%,"¥69,800,572","
CEOcoin
                            ",￥9.99,"
<0.1%                                  ",0.38%,-2.92%
2.08%,"¥70,347,531","
LUXCoin
                            ",￥56.48,"
<0.1%                                  ",1.29%,-5.19%
7.48%,"¥70,114,494","
Bismuth
                            ",￥8.53,"
<0.1%                                  ",0.19%,-15.43%
100%,"¥70,483,540","
Syndicate
                            ",￥3.61,"
<0.1%                                  ",2.46%,-5.34%
100%,"¥70,897,462","
Pandacoin
                            ",￥0.00218,"
<0.1%                                  ",0.08%,17.47%
100%,"¥70,677,993","
TransferCoin
                            ",￥11.1,"
<0.1%                                  ",18.15%,-6.57%
24.02%,"¥294,938","
Torcoin
                            ",￥0.9328,"
<0.1%                                  ",0.16%,-1.83%
25.8%,"¥70,925,864","
ToaCoin
                            ",￥0.0307,"
<0.1%                                  ",0.23%,-15.77%
72.78%,"¥77,021,297","
LoMoCoin
                            ",￥0.3389,"
<0.1%                                  ",4.38%,-14.11%
100%,"¥77,261,089","
NeosCoin
                            ",￥20.76,"
<0.1%                                  ",0.73%,-4.04%
17.58%,"¥78,213,420","
NuBits
                            ",￥6.32,"
<0.1%                                  ",0.22%,-0.02%
6.28%,"¥78,354,893","
Universal Cur...
                            ",￥5.94,"
<0.1%                                  ",0.22%,-6.49%
100%,"¥78,770,366","
Musicoin
                            ",￥0.1183,"
<0.1%                                  ",0.38%,-5.45%
43.51%,"¥78,781,047","
DraftCoin
                            ",￥10.23,"
<0.1%                                  ",1.8%,-2.82%
100%,"¥77,384,619","
Golos
                            ",￥0.6215,"
<0.1%                                  ",0.18%,-8.29%
17.53%,"¥80,038,996","
Clams
                            ",￥27.49,"
<0.1%                                  ",0.24%,-7.89%
100%,"¥79,599,021","
Spectrecoin
                            ",￥3.83,"
<0.1%                                  ",0.74%,-9.5%
3.02%,"¥80,311,490","
GoByte
                            ",￥83.72,"
<0.1%                                  ",2.6%,22.99%
100%,"¥82,163,057","
Myriad
                            ",￥0.0527,"
<0.1%                                  ",0.31%,-6.84%
100%,"¥82,455,386","
Rubycoin
                            ",￥3.25,"
<0.1%                                  ",0.13%,-8.09%
72.99%,"¥83,718,666","
SHIELD
                            ",￥0.1738,"
<0.1%                                  ",0.26%,-8.04%
70.38%,"¥86,422,314","
OKCash
                            ",￥1.17,"
<0.1%                                  ",6.12%,-9.94%
0.04%,"¥86,895,516","
SolarCoin
                            ",￥2.33,"
<0.1%                                  ",0.6%,-13.83%
0.25%,"¥89,083,605","
PRIZM
                            ",￥5.86,"
<0.1%                                  ",0.1%,-5.29%
95%,"¥89,098,685","
MergeCoin
                            ",￥0.9379,"
<0.1%                                  ",1.23%,-8.48%
40%,"¥89,724,900","
Bodhi
                            ",￥2.24,"
<0.1%                                  ",11.51%,-9.03%
100%,"¥85,784,270","
Auroracoin
                            ",￥9.91,"
<0.1%                                  ",0.19%,-4.19%
100%,"¥91,520,426","
Energycoin
                            ",￥0.752,"
<0.1%                                  ",0.09%,-2.76%
100%,"¥91,367,879","
BitSend
                            ",￥4.95,"
<0.1%                                  ",2.97%,-4.83%
100%,"¥97,002,500","
EarthCoin
                            ",￥0.008222,"
<0.1%                                  ",0.58%,-5.14%
3.16%,"¥97,829,489","
MonetaryUnit
                            ",￥0.7737,"
<0.1%                                  ",2.23%,-10.17%
89.15%,"¥97,285,015","
FlorinCoin
                            ",￥0.6821,"
<0.1%                                  ",0.3%,-8.79%
100%,"¥98,901,513","
FedoraCoin
                            ",￥0.000223,"
<0.1%                                  ",0.01%,22.2%
0%,"¥103,053,993","
E-Dinar Coin
                            ",￥0.1163,"
<0.1%                                  ",0.08%,-7.22%
100%,"¥105,963,661","
HempCoin
                            ",￥0.4598,"
<0.1%                                  ",0.44%,-7.87%
100%,"¥106,119,513","
Primecoin
                            ",￥4.65,"
<0.1%                                  ",0.45%,-3.57%
90.87%,"¥108,386,446","
Omni
                            ",￥193,"
<0.1%                                  ",0.16%,-8.38%
78.59%,"¥107,118,005","
Electra
                            ",￥0.004543,"
<0.1%                                  ",0.21%,-1.67%
71.77%,"¥110,125,879","
Peerplays
                            ",￥27.82,"
<0.1%                                  ",0%,-11.29%
100%,"¥114,024,447","
NewYorkCoin
                            ",￥0.000863,"
<0.1%                                  ",0.12%,-20.29%
52.54%,"¥111,325,757","
ALQO
                            ",￥3.66,"
<0.1%                                  ",0.65%,-12.2%
100%,"¥119,243,449","
Pascal Coin
                            ",￥6.41,"
<0.1%                                  ",0.36%,-11.01%
63%,"¥122,242,142","
PoSW Coin
                            ",￥2.77,"
<0.1%                                  ",0.11%,-8.85%
47.62%,"¥123,779,891","
Target Coin
                            ",￥0.13,"
<0.1%                                  ",0%,28.6%
82.35%,"¥118,972,558","
Zoin
                            ",￥6.88,"
<0.1%                                  ",0.37%,-12.09%
100%,"¥118,713,582","
GridCoin
                            ",￥0.3041,"
<0.1%                                  ",0.25%,-8.45%
100%,"¥122,281,181","
NoLimitCoin
                            ",￥0.5947,"
<0.1%                                  ",0.25%,-7.01%
46.77%,"¥123,972,806","
Expanse
                            ",￥15.68,"
<0.1%                                  ",2.42%,-11.03%
100%,"¥132,638,492","
Tao
                            ",￥4.04,"
<0.1%                                  ",0%,-9.15%
100%,"¥127,526,445","
Moeda Loyalty
                            ",￥6.5,"
<0.1%                                  ",3.46%,4.74%
100%,"¥124,523,434","
Mintcoin
                            ",￥0.004991,"
<0.1%                                  ",0.38%,-12.42%
89.57%,"¥126,322,426","
Elastic
                            ",￥1.41,"
<0.1%                                  ",1.47%,-11.7%
100%,"¥135,118,505","
FairCoin
                            ",￥2.54,"
<0.1%                                  ",0.61%,2.25%
20%,"¥136,980,468","
Ocoin
                            ",￥0.0685,"
<0.1%                                  ",95.25%,-13.76%
76.19%,"¥137,867,124","
TV
                            ",￥0.8617,"
<0.1%                                  ",7.04%,-5.32%
82.5%,"¥143,664,991","
ColossusCoinXT
                            ",￥0.0134,"
<0.1%                                  ",0.16%,-11.56%
100%,"¥144,526,986","
BlackCoin
                            ",￥1.88,"
<0.1%                                  ",3.37%,-11.46%
45.1%,"¥146,697,347","
DeepOnion
                            ",￥13.01,"
<0.1%                                  ",0.26%,-4.89%
80%,"¥144,586,756","
Hyperpay
                            ",￥0.0682,"
<0.1%                                  ",0.19%,-4.7%
100%,"¥149,055,223","
I/O Coin
                            ",￥8.99,"
<0.1%                                  ",0.09%,-9.28%
100%,"¥149,260,168","
VeriCoin
                            ",￥4.84,"
<0.1%                                  ",3.41%,-6.97%
100%,"¥149,663,668","
Voxels
                            ",￥0.7127,"
<0.1%                                  ",4.97%,-6.29%
61.29%,"¥151,248,655","
Diamond
                            ",￥56.34,"
<0.1%                                  ",0.09%,-6.4%
37.5%,"¥153,567,855","
ENT Cash
                            ",￥0.2559,"
<0.1%                                  ",0.9%,0.45%
100%,"¥114,269,083","
Radium
                            ",￥33,"
<0.1%                                  ",1.63%,-3.38%
21.58%,"¥157,796,118","
Lykke
                            ",￥0.5687,"
<0.1%                                  ",0.11%,-3.27%
100%,"¥159,510,638","
Dimecoin
                            ",￥0.000296,"
<0.1%                                  ",0.1%,-20.62%
9.93%,"¥161,469,957","
LEOcoin
                            ",￥1.63,"
<0.1%                                  ",5.47%,-2.59%
55.56%,"¥162,844,608","
UgChain
                            ",￥0.3257,"
<0.1%                                  ",0.43%,-0.88%
100%,"¥165,978,560","
WhiteCoin
                            ",￥0.6677,"
<0.1%                                  ",3.84%,-10.68%
100%,"¥157,513,159","
Steem Dollars
                            ",￥15.05,"
<0.1%                                  ",5.55%,-9.76%
100%,"¥166,429,616","
E-Currency Coin
                            ",￥0.006657,"
<0.1%                                  ",0.16%,-17.44%
52.27%,"¥170,373,428","
PotCoin
                            ",￥0.7761,"
<0.1%                                  ",0.36%,-7.06%
100%,"¥176,194,588","
Flash
                            ",￥0.1958,"
<0.1%                                  ",0.19%,-11.82%
100%,"¥183,199,058","
SIBCoin
                            ",￥11.11,"
<0.1%                                  ",1.37%,-8.28%
100%,"¥180,075,106","
Mooncoin
                            ",￥0.000805,"
<0.1%                                  ",0.03%,15.03%
100%,"¥185,231,466","
Shift
                            ",￥15.69,"
<0.1%                                  ",2.13%,-7.73%
100%,"¥187,634,788","
Unobtanium
                            ",￥946,"
<0.1%                                  ",0.22%,-9.41%
41.74%,"¥190,909,000","
Crown
                            ",￥10.89,"
<0.1%                                  ",0.12%,-10.78%
100%,"¥175,551,884","
Namecoin
                            ",￥11.91,"
<0.1%                                  ",0.33%,-6.13%
69.2%,"¥196,141,792","
Centra
                            ",￥2.88,"
<0.1%                                  ",5.14%,-11.01%
70.09%,"¥196,920,410","
DECENT
                            ",￥3.84,"
<0.1%                                  ",6.75%,-6.34%
100%,"¥197,062,812","
Infinitecoin
                            ",￥0.002175,"
<0.1%                                  ",1.07%,-3.35%
45.88%,"¥296,711","
Braincoin
                            ",￥0.0294,"
<0.1%                                  ",0.08%,14.29%
100%,"¥299,408","
CoExistCoin
                            ",￥0.011,"
<0.1%                                  ",0.01%,-50.14%
0.48%,"¥311,975","
KingN Coin
                            ",￥155,"
<0.1%                                  ",0.08%,-6.62%
100%,"¥325,119","
EGO
                            ",￥0.005419,"
<0.1%                                  ",?%,-8.76%
100%,"¥332,945","
ZetaMicron
                            ",￥0.000555,"
<0.1%                                  ",0%,0%
100%,"¥305,809","
Orlycoin
                            ",￥0.008345,"
<0.1%                                  ",?%,-6.33%
100%,"¥335,028","
Unrealcoin
                            ",￥0.0477,"
<0.1%                                  ",0.02%,-4.4%
100%,"¥337,630","
PonziCoin
                            ",￥0.3921,"
<0.1%                                  ",0.08%,-6.62%
100%,"¥346,278","
Zayedcoin
                            ",￥0.0555,"
<0.1%                                  ",1.82%,-6.62%
100%,"¥343,284","
Blackstar
                            ",￥0.000544,"
<0.1%                                  ",?%,-8.37%
100%,"¥352,977","
G3N
                            ",￥0.0467,"
<0.1%                                  ",?%,-8.63%
100%,"¥359,283","
Solarflarecoin
                            ",￥0.0255,"
<0.1%                                  ",1.56%,-9.27%
100%,"¥359,593","
Iconic
                            ",￥0.6065,"
<0.1%                                  ",1.62%,-1.35%
100%,"¥346,563","
Dreamcoin
                            ",￥0.1407,"
<0.1%                                  ",?%,-7.01%
100%,"¥364,785","
Pulse
                            ",￥0.0255,"
<0.1%                                  ",0.01%,2.27%
100%,"¥360,802","
MindCoin
                            ",￥0.0227,"
<0.1%                                  ",0.01%,14.15%
100%,"¥370,249","
VIP Tokens
                            ",￥0.004437,"
<0.1%                                  ",0.04%,-6.62%
11.76%,"¥375,402","
LiteCoin Ultra
                            ",￥0.3757,"
<0.1%                                  ",0.54%,-3.97%
100%,"¥379,708","
Cthulhu Offer...
                            ",￥0.1447,"
<0.1%                                  ",25.57%,-28.26%
100%,"¥381,772","
QuazarCoin
                            ",￥0.0555,"
<0.1%                                  ",4.4%,-11.36%
7.62%,"¥389,439","
Wild Beast Block
                            ",￥2.14,"
<0.1%                                  ",124.34%,-1.44%
59.86%,"¥392,668","
Bitcedi
                            ",￥0.0682,"
<0.1%                                  ",0.31%,-20.24%
24.26%,"¥399,594","
CryptoEscudo
                            ",￥0.002773,"
<0.1%                                  ",0.2%,-6.62%
100%,"¥404,906","
ARbit
                            ",￥0.0494,"
<0.1%                                  ",0%,-6.64%
14.88%,"¥423,242","
Shilling
                            ",￥0.0699,"
<0.1%                                  ",0.22%,-5.13%
100%,"¥427,034","
Slevin
                            ",￥0.0061,"
<0.1%                                  ",0.59%,-4.76%
47.71%,"¥432,650","
VapersCoin
                            ",￥0.000555,"
<0.1%                                  ",2.13%,-6.64%
100%,"¥436,506","
Jewels
                            ",￥0.0216,"
<0.1%                                  ",0%,-6.62%
100%,"¥429,187","
Uro
                            ",￥0.3555,"
<0.1%                                  ",0.04%,-6.62%
100%,"¥434,043","
Vector
                            ",￥0.0255,"
<0.1%                                  ",0.1%,-6.62%
100%,"¥436,740","
Cabbage
                            ",￥0.0416,"
<0.1%                                  ",0.07%,-5.36%
35.95%,"¥365,025","
MiloCoin
                            ",￥0.0338,"
<0.1%                                  ",0%,-0.96%
100%,"¥443,673","
DAPPSTER
                            ",￥0.004437,"
<0.1%                                  ",0.01%,24.51%
100%,"¥441,641","
HealthyWormCoin
                            ",￥0.003882,"
<0.1%                                  ",0.55%,0%
100%,"¥449,340","
Ride My Car
                            ",￥0.004437,"
<0.1%                                  ",0.24%,0%
100%,"¥463,851","
BillaryCoin
                            ",￥0.0516,"
<0.1%                                  ",0%,-8.58%
6.88%,"¥464,528","
Kronecoin
                            ",￥0.0804,"
<0.1%                                  ",0.42%,-7.36%
100%,"¥480,407","
Printerium
                            ",￥0.0406,"
<0.1%                                  ",0.2%,7.72%
4.48%,"¥472,164","
Master Swiscoin
                            ",￥0.0105,"
<0.1%                                  ",0.73%,1.26%
100%,"¥472,297","
Californium
                            ",￥0.1941,"
<0.1%                                  ",0.04%,-15.96%
100%,"¥502,921","
Litecred
                            ",￥0.0166,"
<0.1%                                  ",0.04%,0.05%
100%,"¥507,296","
BitQuark
                            ",￥0.0527,"
<0.1%                                  ",?%,-6.57%
56.93%,"¥511,279","
Soujourn
                            ",￥1.05,"
<0.1%                                  ",0%,14.47%
96.04%,"¥484,073","
Neuro
                            ",￥0.009983,"
<0.1%                                  ",0.19%,-19.96%
100%,"¥496,672","
WARP
                            ",￥0.4535,"
<0.1%                                  ",?%,-5.64%
100%,"¥541,409","
SongCoin
                            ",￥0.0166,"
<0.1%                                  ",2.1%,1.71%
61.62%,"¥559,701","
AmsterdamCoin
                            ",￥0.0111,"
<0.1%                                  ",60.44%,-6.74%
100%,"¥587,881","
BnrtxCoin
                            ",￥0.0205,"
<0.1%                                  ",0.24%,-14.77%
35.96%,"¥578,315","
Eryllium
                            ",￥0.103,"
<0.1%                                  ",0.5%,-9.53%
3.19%,"¥574,750","
Metal Music Coin
                            ",￥0.00721,"
<0.1%                                  ",0.01%,1.17%
85.18%,"¥609,496","
Coinonat
                            ",￥0.0707,"
<0.1%                                  ",0.24%,-7.01%
100%,"¥600,835","
Marijuanacoin
                            ",￥0.3682,"
<0.1%                                  ",0.19%,-10.14%
100%,"¥597,182","
Spots
                            ",￥0.0267,"
<0.1%                                  ",5.57%,11.19%
100%,"¥628,471","
BenjiRolls
                            ",￥0.031,"
<0.1%                                  ",0.12%,-5.32%
100%,"¥638,025","
Comet
                            ",￥0.731,"
<0.1%                                  ",0.71%,16.47%
92.66%,"¥606,166","
StarCash Network
                            ",￥0.6561,"
<0.1%                                  ",0%,-4.19%
25.65%,"¥640,203","
Gold Pressed ...
                            ",￥2.5,"
<0.1%                                  ",0.88%,7.19%
75.04%,"¥602,830","
ALTCOM
                            ",￥2.89,"
<0.1%                                  ",0.9%,-8.42%
100%,"¥664,509","
GoldPieces
                            ",￥0.5446,"
<0.1%                                  ",0.02%,-5.2%
84.65%,"¥672,822","
Allion
                            ",￥0.1085,"
<0.1%                                  ",0.14%,-15.92%
100%,"¥678,406","
Cannation
                            ",￥0.2739,"
<0.1%                                  ",1.18%,-9.75%
20%,"¥671,760","
ElectrumLtc
                            ",￥0.0336,"
<0.1%                                  ",0.81%,0.57%
100%,"¥700,338","
Creatio
                            ",￥0.0341,"
<0.1%                                  ",0.04%,-4.65%
100%,"¥716,762","
AntiBitcoin
                            ",￥0.041,"
<0.1%                                  ",0%,-6.62%
100%,"¥728,848","
CompuCoin
                            ",￥0.0372,"
<0.1%                                  ",0.11%,3.34%
11.87%,"¥729,032","
Asiadigicoin
                            ",￥0.0292,"
<0.1%                                  ",?%,-7.66%
100%,"¥730,494","
SOILcoin
                            ",￥0.1281,"
<0.1%                                  ",0.04%,-6.21%
71.5%,"¥685,295","
Francs
                            ",￥0.2264,"
<0.1%                                  ",0.2%,-3.07%
100%,"¥731,083","
TajCoin
                            ",￥0.0845,"
<0.1%                                  ",0.37%,-7.51%
47.49%,"¥752,381","
HempCoin
                            ",￥0.000555,"
<0.1%                                  ",0.16%,-6.62%
34.43%,"¥733,236","
Theresa May Coin
                            ",￥0.0213,"
<0.1%                                  ",0.67%,-6.24%
100%,"¥741,422","
Crypto
                            ",￥0.0555,"
<0.1%                                  ",0.06%,-7.54%
85.32%,"¥742,511","
GuccioneCoin
                            ",￥0.0366,"
<0.1%                                  ",0.01%,-4.18%
3.76%,"¥769,755","
Artex Coin
                            ",￥0.041,"
<0.1%                                  ",12.18%,24.52%
63.49%,"¥782,316","
Elacoin
                            ",￥1.92,"
<0.1%                                  ",?%,0%
69.23%,"¥782,765","
Debitcoin
                            ",￥0.0435,"
<0.1%                                  ",0.06%,-2.75%
100%,"¥805,153","
Flaxscript
                            ",￥0.1436,"
<0.1%                                  ",0.03%,-2.89%
100%,"¥806,147","
X-Coin
                            ",￥0.0651,"
<0.1%                                  ",3.78%,-3.79%
100%,"¥812,155","
Luna Coin
                            ",￥0.4759,"
<0.1%                                  ",0.02%,-7.81%
100%,"¥839,804","
Money
                            ",￥0.0183,"
<0.1%                                  ",0.16%,-16.71%
46.16%,"¥855,519","
Madcoin
                            ",￥0.4702,"
<0.1%                                  ",0.49%,0.9%
41.95%,"¥857,785","
CacheCoin
                            ",￥0.2045,"
<0.1%                                  ",0.34%,-9.9%
21.49%,"¥830,687","
PeepCoin
                            ",￥0.00007742,"
<0.1%                                  ",2.98%,7.41%
78.55%,"¥861,255","
GPU Coin
                            ",￥0.0213,"
<0.1%                                  ",0.07%,0.38%
100%,"¥866,339","
FuzzBalls
                            ",￥0.1794,"
<0.1%                                  ",0.15%,9.17%
13.2%,"¥867,573","
Enigma
                            ",￥1.31,"
<0.1%                                  ",?%,-8.34%
100%,"¥868,282","
Franko
                            ",￥0.9329,"
<0.1%                                  ",?%,-8.62%
11.18%,"¥879,698","
Bitcoin 21
                            ",￥1.11,"
<0.1%                                  ",0%,-6.62%
100%,"¥896,444","
MNC
                            ",￥0.2089,"
<0.1%                                  ",0.06%,-28.19%
100%,"¥911,494","
Impact
                            ",￥0.008319,"
<0.1%                                  ",0.08%,-32.85%
100%,"¥903,845","
SecretCoin
                            ",￥0.2137,"
<0.1%                                  ",?%,-1.96%
92.29%,"¥21,105,612","
Social Send
                            ",￥0.658,"
<0.1%                                  ",0.19%,-8.88%
100%,"¥21,496,140","
TrustPlus
                            ",￥0.6699,"
<0.1%                                  ",0.66%,-6.27%
10%,"¥21,867,001","
DABT
                            ",￥3.64,"
<0.1%                                  ",0.04%,-8.89%
93.08%,"¥21,899,882","
BuzzCoin
                            ",￥0.001176,"
<0.1%                                  ",0.54%,-31.55%
95.46%,"¥22,144,846","
Bitswift
                            ",￥5.7,"
<0.1%                                  ",0.05%,-9.91%
100%,"¥22,396,161","
EverGreenCoin
                            ",￥1.68,"
<0.1%                                  ",0.63%,-3.13%
100%,"¥22,889,510","
Ixcoin
                            ",￥1.09,"
<0.1%                                  ",0%,2.15%
4.69%,"¥22,107,074","
HollyWoodCoin
                            ",￥23.23,"
<0.1%                                  ",2.95%,-7.12%
100%,"¥23,097,247","
TeslaCoin
                            ",￥0.3095,"
<0.1%                                  ",0.28%,-1.3%
23.71%,"¥23,353,817","
TrezarCoin
                            ",￥0.2462,"
<0.1%                                  ",0.13%,-6.92%
24.77%,"¥23,764,902","
Virtacoin
                            ",￥0.004569,"
<0.1%                                  ",0%,0%
100%,"¥23,383,010","
Blitzcash
                            ",￥5.66,"
<0.1%                                  ",0.15%,-10.49%
25.21%,"¥23,970,347","
Obsidian
                            ",￥0.9588,"
<0.1%                                  ",0.35%,-0.08%
53.35%,"¥24,047,064","
Terracoin
                            ",￥1.07,"
<0.1%                                  ",0.06%,-10.42%
17.7%,"¥24,318,291","
MNTP
                            ",￥14.18,"
<0.1%                                  ",0.24%,-24.25%
100%,"¥24,471,540","
DNotes
                            ",￥0.1847,"
<0.1%                                  ",0.05%,0.33%
30.88%,"¥24,743,413","
MonacoCoin
                            ",￥7.91,"
<0.1%                                  ",0.42%,4.5%
99.04%,"¥25,946,686","
YbCoin
                            ",￥0.859,"
<0.1%                                  ",71.49%,13.85%
100%,"¥25,851,982","
HunterCoin
                            ",￥1.19,"
<0.1%                                  ",0.34%,-7.34%
84.08%,"¥25,867,886","
CannabisCoin
                            ",￥0.3349,"
<0.1%                                  ",2.25%,-12.76%
100%,"¥25,896,548","
Sprouts
                            ",￥0.00000679,"
<0.1%                                  ",0.19%,-8.43%
45.97%,"¥26,188,978","
Masternodecoin
                            ",￥0.5341,"
<0.1%                                  ",0.03%,-10.01%
100%,"¥26,197,006","
LuckChain
                            ",￥0.0366,"
<0.1%                                  ",0.32%,-0.62%
100%,"¥26,578,468","
AudioCoin
                            ",￥0.031,"
<0.1%                                  ",0.05%,-3.78%
18.75%,"¥28,277,012","
Starbase
                            ",￥0.1508,"
<0.1%                                  ",0.02%,4.53%
73.37%,"¥28,475,576","
Vsync
                            ",￥0.168,"
<0.1%                                  ",0.1%,-9.92%
100%,"¥28,523,175","
2GIVE
                            ",￥0.0549,"
<0.1%                                  ",0.43%,-8.1%
100%,"¥30,057,318","
ArtByte
                            ",￥0.0379,"
<0.1%                                  ",0.49%,-9.79%
100%,"¥28,719,009","
Riecoin
                            ",￥0.6821,"
<0.1%                                  ",1.99%,-3.79%
1.96%,"¥29,939,749","
KiloCoin
                            ",￥0.1525,"
<0.1%                                  ",0.02%,-20.87%
32%,"¥30,290,090","
GECoin
                            ",￥0.2958,"
<0.1%                                  ",0.49%,-55.25%
